SampleID	sample	NumberReadsInput	NumberReadsDecombined	PercentReadsDecombined	UniqueDCRsPassingFilters	TotalDCRsPassingFilters	PercentDCRPassingFilters.withbarcode.	UniqueDCRsPostCollapsing	TotalDCRsPostCollapsing	PercentUniqueDCRsKept	PercentTotalDCRsKept	AverageInputTCRAbundance	AverageOutputTCRAbundance	AverageRNAduplication
EPICC_NE0009A_T1_B1_Q1_alpha	dcr_MEM_0000_N9A1_alpha_n12_gz	61489	4363	0.071	190	3261	0.747	157	217	0.826	0.067	17.163	1.382	15.028
EPICC_NE0009A_T1_B1_Q1_beta	dcr_MEM_0000_N9A1_beta_n12_gz	61489	8292	0.135	396	6315	0.762	280	429	0.707	0.068	15.947	1.532	14.72
EPICC_RE0010A_T1_B1_Q1_alpha	dcr_MEM_0000_R10A1_alpha_n12_gz	1856045	499368	0.269	2602	427976	0.857	187	370	0.072	0.001	164.48	1.979	1156.692
EPICC_RE0010A_T1_B1_Q1_beta	dcr_MEM_0000_R10A1_beta_n12_gz	1856045	386107	0.208	4354	324157	0.84	415	617	0.095	0.002	74.45	1.487	525.376
EPICC_RE0010A_T2_B1_Q1_alpha	dcr_MEM_0000_R10A2_alpha_n12_gz	375167	45264	0.121	444	38539	0.851	91	115	0.205	0.003	86.8	1.264	335.122
EPICC_RE0010A_T2_B1_Q1_beta	dcr_MEM_0000_R10A2_beta_n12_gz	375167	120713	0.322	1482	98387	0.815	143	189	0.096	0.002	66.388	1.322	520.566
EPICC_RE0010B_T1_B1_Q1_alpha	dcr_MEM_0000_R10B1_alpha_n12_gz	66874	40202	0.601	273	36538	0.909	24	26	0.088	0.001	133.839	1.083	1405.308
EPICC_RE0010B_T1_B1_Q1_beta	dcr_MEM_0000_R10B1_beta_n12_gz	66874	1983	0.03	27	1843	0.929	9	9	0.333	0.005	68.259	1	204.778
EPICC_RE0010B_T2_B1_Q1_alpha	dcr_MEM_0000_R10B2_alpha_n12_gz	102396	24346	0.238	281	22765	0.935	28	31	0.1	0.001	81.014	1.107	734.355
EPICC_RE0010B_T2_B1_Q1_beta	dcr_MEM_0000_R10B2_beta_n12_gz	102396	15418	0.151	276	13350	0.866	70	73	0.254	0.005	48.37	1.043	182.877
EPICC_RE0011A_T1_B1_Q1_alpha	dcr_MEM_0000_R11A1_alpha_n12_gz	267529	151255	0.565	584	130683	0.864	21	29	0.036	0	223.772	1.381	4506.31
EPICC_RE0011A_T1_B1_Q1_beta	dcr_MEM_0000_R11A1_beta_n12_gz	267529	26043	0.097	177	23643	0.908	27	31	0.153	0.001	133.576	1.148	762.677
EPICC_RE0011B_T1_B1_Q1_alpha	dcr_MEM_0000_R11B1_alpha_n12_gz	75374	9880	0.131	451	7708	0.78	378	502	0.838	0.065	17.091	1.328	15.355
EPICC_RE0011B_T1_B1_Q1_beta	dcr_MEM_0000_R11B1_beta_n12_gz	75374	14528	0.193	921	11262	0.775	748	1141	0.812	0.101	12.228	1.525	9.87
EPICC_RE0011C_T1_B1_Q1_alpha	dcr_MEM_0000_R11C1_alpha_n12_gz	170053	30190	0.178	1015	24852	0.823	775	1325	0.764	0.053	24.485	1.71	18.756
EPICC_RE0011C_T1_B1_Q1_beta	dcr_MEM_0000_R11C1_beta_n12_gz	170053	55099	0.324	2327	45031	0.817	1603	2952	0.689	0.066	19.352	1.842	15.254
EPICC_RE0023B_T2_B1_Q1_alpha	dcr_MEM_0000_R23B2_alpha_n12_gz	79391	6305	0.079	408	4746	0.753	355	397	0.87	0.084	11.632	1.118	11.955
EPICC_RE0023B_T2_B1_Q1_beta	dcr_MEM_0000_R23B2_beta_n12_gz	79391	11306	0.142	856	8758	0.775	692	838	0.808	0.096	10.231	1.211	10.451
EPICC_RE0023C_T1_B1_Q1_alpha	dcr_MEM_0000_R23C1_alpha_n12_gz	1130484	119163	0.105	1003	95133	0.798	254	483	0.253	0.005	94.848	1.902	196.963
EPICC_RE0023C_T1_B1_Q1_beta	dcr_MEM_0000_R23C1_beta_n12_gz	1130484	232630	0.206	2838	183814	0.79	449	766	0.158	0.004	64.769	1.706	239.966
EPICC_RE0003A_T1_B1_Q1_alpha	dcr_MEM_0000_R3A1_alpha_n12_gz	1542866	661585	0.429	3863	550844	0.833	232	357	0.06	0.001	142.595	1.539	1542.98
EPICC_RE0003A_T1_B1_Q1_beta	dcr_MEM_0000_R3A1_beta_n12_gz	1542866	240050	0.156	2921	193431	0.806	452	670	0.155	0.003	66.221	1.482	288.703
EPICC_RE0003B_T2_B1_Q1_alpha	dcr_MEM_0000_R3B2_alpha_n12_gz	1624616	688295	0.424	3714	580094	0.843	182	293	0.049	0.001	156.191	1.61	1979.843
EPICC_RE0003B_T2_B1_Q1_beta	dcr_MEM_0000_R3B2_beta_n12_gz	1624616	241076	0.148	2318	195627	0.811	263	391	0.113	0.002	84.395	1.487	500.325
EPICC_RE0005A_T1_B1_Q1_alpha	dcr_MEM_0000_R5A1_alpha_n12_gz	634191	253944	0.4	1412	212335	0.836	55	75	0.039	0	150.379	1.364	2831.133
EPICC_RE0005A_T1_B1_Q1_beta	dcr_MEM_0000_R5A1_beta_n12_gz	634191	117463	0.185	993	82631	0.703	73	112	0.074	0.001	83.213	1.534	737.777
EPICC_RE0005C_T1_B1_Q1_alpha	dcr_MEM_0000_R5C1_alpha_n12_gz	214896	41	0	21	32	0.78	21	22	1	0.688	1.524	1.048	1.455
EPICC_RE0005C_T1_B1_Q1_beta	dcr_MEM_0000_R5C1_beta_n12_gz	214896	82857	0.386	954	66345	0.801	122	164	0.128	0.002	69.544	1.344	404.543
EPICC_NE0010A_T1_B1_Q1_alpha	dcr_MEM_0000_N10A1_EKDL210004654_1a_AK6677_AK6674_HFJVHDSX2_L4_1_alpha_n12_gz	12348837	155725	0.013	1113	127921	0.821	114	228	0.102	0.002	114.934	2	561.057
EPICC_NE0010A_T1_B1_Q1_beta	dcr_MEM_0000_N10A1_EKDL210004654_1a_AK6677_AK6674_HFJVHDSX2_L4_1_beta_n12_gz	12348837	2026886	0.164	8605	1701881	0.84	212	696	0.025	0	197.778	3.283	2445.231
EPICC_NE0010B_T3_B1_Q1_alpha	dcr_MEM_0000_N10B3_EKDL210004654_1a_AK6687_AK6685_HFJVHDSX2_L4_1_alpha_n12_gz	4048305	276431	0.068	2377	246515	0.892	343	703	0.144	0.003	103.708	2.05	350.661
EPICC_NE0010B_T3_B1_Q1_beta	dcr_MEM_0000_N10B3_EKDL210004654_1a_AK6687_AK6685_HFJVHDSX2_L4_1_beta_n12_gz	4048305	787995	0.195	6865	708520	0.899	662	1742	0.096	0.002	103.208	2.631	406.728
EPICC_NE0010C_T2_B1_Q1_alpha	dcr_MEM_0000_N10C2_EKDL210004654_1a_AK6698_AK6696_HFJVHDSX2_L4_1_alpha_n12_gz	18198413	794583	0.044	3126	577132	0.726	112	184	0.036	0	184.623	1.643	3136.587
EPICC_NE0010C_T2_B1_Q1_beta	dcr_MEM_0000_N10C2_EKDL210004654_1a_AK6698_AK6696_HFJVHDSX2_L4_1_beta_n12_gz	18198413	981898	0.054	6925	764877	0.779	207	299	0.03	0	110.452	1.444	2558.117
EPICC_NE0012A_T1_B1_Q1_alpha	dcr_MEM_0000_N12A1_EKDL210004654_1a_AK6708_AK6706_HFJVHDSX2_L4_1_alpha_n12_gz	1594941	42692	0.027	451	30742	0.72	76	101	0.169	0.003	68.164	1.329	304.376
EPICC_NE0012A_T1_B1_Q1_beta	dcr_MEM_0000_N12A1_EKDL210004654_1a_AK6708_AK6706_HFJVHDSX2_L4_1_beta_n12_gz	1594941	121451	0.076	1206	86266	0.71	126	187	0.104	0.002	71.531	1.484	461.316
EPICC_NE0007B_T1_B1_Q1_alpha	dcr_MEM_0000_N7B1_EKDL210004654_1a_AK6655_AK242_HFJVHDSX2_L4_1_alpha_n12_gz	17556777	661222	0.038	2364	455379	0.689	84	138	0.036	0	192.631	1.643	3299.848
EPICC_NE0007B_T1_B1_Q1_beta	dcr_MEM_0000_N7B1_EKDL210004654_1a_AK6655_AK242_HFJVHDSX2_L4_1_beta_n12_gz	17556777	1102230	0.063	4483	592760	0.538	124	182	0.028	0	132.224	1.468	3256.923
EPICC_NE0009B_T1_B1_Q1_alpha	dcr_MEM_0000_N9B1_EKDL210004654_1a_AK6666_AK5927_HFJVHDSX2_L4_1_alpha_n12_gz	4300203	201004	0.047	1476	136340	0.678	145	206	0.098	0.002	92.371	1.421	661.845
EPICC_NE0009B_T1_B1_Q1_beta	dcr_MEM_0000_N9B1_EKDL210004654_1a_AK6666_AK5927_HFJVHDSX2_L4_1_beta_n12_gz	4300203	380871	0.089	2791	238592	0.626	219	376	0.078	0.002	85.486	1.717	634.553
EPICC_RE0023A_T1_B1_Q1_alpha	dcr_MEM_0000_R23A1_EKDL210004654_1a_AK6720_AK6717_HFJVHDSX2_L4_1_alpha_n12_gz	2358593	188768	0.08	1870	161161	0.854	282	429	0.151	0.003	86.182	1.521	375.667
EPICC_RE0023A_T1_B1_Q1_beta	dcr_MEM_0000_R23A1_EKDL210004654_1a_AK6720_AK6717_HFJVHDSX2_L4_1_beta_n12_gz	2358593	295752	0.125	3718	246050	0.832	432	662	0.116	0.003	66.178	1.532	371.677
EPICC_RE0005B_T1_B1_Q1_alpha	dcr_MEM_0000_R5B1_EKDL210004654_1a_AK6731_AK6728_HFJVHDSX2_L4_1_alpha_n12_gz	12779440	411176	0.032	3441	365676	0.889	322	414	0.094	0.001	106.27	1.286	883.275
EPICC_RE0005B_T1_B1_Q1_beta	dcr_MEM_0000_R5B1_EKDL210004654_1a_AK6731_AK6728_HFJVHDSX2_L4_1_beta_n12_gz	12779440	2304924	0.18	18283	1957605	0.849	602	899	0.033	0	107.072	1.493	2177.536
